"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"salsic_AK2018_01","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.053303,0.081219,0.183403,0.454296,0.387771,0.279427
"salsic_AK2018_02","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.031439,0.060042,0.166726,0.404519,0.323614,0.232084
"salsic_AK2018_03","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.037427,0.0719,0.126889,0.456584,0.308472,0.19618
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.039316,0.081047,0.083414,0.477986,0.255393,0.133773
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.05061,0.070145,0.18153,0.454659,0.409584,0.291864
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.050601,0.082986,0.226041,0.473862,0.374333,0.263566
"salsic_AK2018_07","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.060005,0.099398,0.191576,0.418751,0.349308,0.26679
"salsic_AK2018_08","dead salix","Dead Salix","Abiotic_Litter","Abiotic",8,13,58,"AK2018",0.03758,0.064887,0.049606,0.498937,0.243213,0.122065
"spbark_AK2018_01","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.093985,0.104913,0.137931,0.18915,0.373188,0.29997
"spbark_AK2018_02","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.073042,0.080827,0.101398,0.14683,0.274236,0.22314
"spbark_AK2018_03","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.099565,0.106043,0.128101,0.169081,0.343871,0.300685
"spbark_AK2018_04","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.090593,0.100139,0.12648,0.168992,0.30619,0.23238
"spbark_AK2018_05","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic",5,13,58,"AK2018",0.083443,0.0821,0.088547,0.106434,0.252518,0.239433
"31","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.145968,0.172561,0.213424,0.208472,0.17235,0.16229
"36","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.066679,0.096387,0.180517,0.192951,0.265803,0.208886
"33","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.080836,0.103852,0.178984,0.214473,0.257853,0.211513
"34","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.071715,0.082405,0.12871,0.156923,0.256521,0.237481
"37","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.126325,0.162015,0.218031,0.22217,0.203559,0.185678
"32","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.088123,0.126592,0.217537,0.22046,0.161314,0.137488
"35","bare rock","Bare Rock","Abiotic_Rock","Abiotic",7,37,58,"Murphy",0.066209,0.085938,0.156276,0.180104,0.191746,0.168728
"94","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.061715,0.070832,0.099144,0.121922,0.162934,0.153202
"96","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.073022,0.088492,0.111716,0.125001,0.143477,0.128747
"97","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.06821,0.077833,0.097856,0.135638,0.25884,0.227989
"95","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.095255,0.109571,0.12328,0.143257,0.17234,0.157984
"93","gravel","Gravel","Abiotic_Rock","Abiotic",5,37,58,"Murphy",0.082181,0.096469,0.120072,0.137219,0.151468,0.131558
"102","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.211784,0.237902,0.28649,0.294481,0.28775,0.249655
"115","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.714379,0.699983,0.698923,0.687812,0.565975,0.502789
"122","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.494878,0.515843,0.59128,0.612247,0.543682,0.472627
"111","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.565344,0.648149,0.714213,0.724118,0.564806,0.455756
"121","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.496122,0.569855,0.655729,0.663062,0.53413,0.441052
"104","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.19218,0.201095,0.21208,0.205915,0.16269,0.151588
"120","quartz","Quartz","Abiotic_Rock","Abiotic",25,37,58,"Murphy",0.429233,0.496267,0.61552,0.640595,0.563516,0.481507
"38","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.08891,0.11203,0.150611,0.180647,0.233251,0.228417
"39","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.124905,0.158771,0.203795,0.219192,0.226981,0.231594
"40","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.052624,0.066952,0.092403,0.136552,0.228859,0.201108
"41","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.084982,0.104522,0.136578,0.158998,0.150539,0.133429
"42","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.093996,0.117591,0.152046,0.174089,0.173653,0.160581
"43","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.094856,0.112973,0.131664,0.15268,0.141416,0.127985
"44","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.106214,0.13024,0.160359,0.158287,0.125627,0.12327
"45","bare_soil","Bare Soil","Abiotic_Soil","Abiotic",8,8,58,"Murphy",0.095413,0.127427,0.171402,0.191294,0.206325,0.197915
"15","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.064484,0.088187,0.081399,0.801468,0.336258,0.175373
"17","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.037686,0.06778,0.083952,0.234135,0.238992,0.138406
"9","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.061902,0.080602,0.070481,0.76128,0.330964,0.17096
"10","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.043554,0.090045,0.080907,0.591563,0.317765,0.169589
"arcsta_Beth002","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.050436,0.076134,0.063165,0.495839,0.251574,0.138627
"arcsta_Beth004","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.043619,0.061822,0.052789,0.521893,0.247375,0.130102
"arcnig_Beth002","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Bethel",0.064912,0.088412,0.071144,0.561371,0.242091,0.133608
"16","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.055154,0.117994,0.094184,0.675369,0.31837,0.175644
"14","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.050693,0.073831,0.060704,0.779714,0.314384,0.15611
"7","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub",19,971,992,"Murphy",0.056425,0.081341,0.087027,0.600775,0.32781,0.173156
