source,outliers,preprocessing,weight,n,oob,accuracy,r2,chi2prob,model_id
img_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.0688042752171009,0.991666666666667,0.0683189973672672,4.71350385680485e-135,8a5e6edf-df25-4cd8-9d7f-abab542c931f
img_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.0675267636563272,0.991666666666667,0.0509795543582919,4.95244380420112e-125,65e3f491-a4c6-4bc8-8946-cf4c64455128
img_raw_raw.csv,no_treatment,no_treatment,balanced,4,0.041539245667686,1,0.0688091278253603,9.98111500661043e-160,80f1eb98-e167-40a6-8463-3206d6b406cd
img_raw_raw.csv,no_treatment,no_treatment,balanced,6,0.0295073768442111,1,0.0617155025886424,1.29750305497471e-315,c152a846-8c16-459b-a4d0-f3ae641afca7
img_raw_raw.csv,no_treatment,no_treatment,balanced,8,0.0287342085707208,1,0.046151476559438,1.06946704114433e-217,da084542-b70d-4ab0-a449-5f41ad7e5549
img_raw_raw.csv,no_treatment,no_treatment,balanced,10,0.0277982779827798,1,0.0495912190218889,8.94205218758603e-248,6fe7c054-1beb-47f8-975e-6e68efe6b926
img_raw_raw.csv,no_treatment,no_treatment,balanced,12,0.0269211943220754,1,0.0464418329160515,2.62242627719434e-184,061f62a8-319c-4bf1-a46f-c2f0aa60e325
img_raw_raw.csv,no_treatment,no_treatment,balanced,14,0.0260848366650414,1,0.0468931317522148,1.03875408957395e-242,6be24782-4a1d-42fc-94d2-acd4d2e9fa1f
img_raw_raw.csv,no_treatment,no_treatment,balanced,16,0.0247632920611799,1,0.0434552084397669,3.10090260797087e-217,5e139865-d835-4bc8-9c50-2592981335f6
img_raw_raw.csv,no_treatment,no_treatment,balanced,18,0.0244374546334382,1,0.0446729427584232,2.59943412283412e-203,8687d34d-6e3b-456c-9c02-cfdfe7dee9d4
img_raw_raw.csv,no_treatment,no_treatment,balanced,20,0.0239130434782609,1,0.0414449047788072,4.19166990925703e-237,51b42f73-5a45-44b6-bba6-68e609df5dba
img_raw_raw.csv,no_treatment,no_treatment,balanced,24,0.0239865675221876,1,0.0490359395860006,2.88830317768112e-263,fac5353f-d5c1-4a82-a611-9926a8c60919
img_raw_raw.csv,no_treatment,no_treatment,balanced,32,0.0244307400379507,1,0.0490249773960608,4.38245650807269e-238,0f4f00bd-7242-4950-83de-46380721db42
img_raw_raw.csv,no_treatment,no_treatment,balanced,50,0.0272918124562631,1,0.0547301636307893,2.34969420470469e-206,bb4948cc-6ea0-4184-842b-9a9081a1b7bf
img_raw_raw.csv,no_treatment,no_treatment,balanced,64,0.0283867989845373,1,0.0566357431418891,5.87601298822259e-219,8cd59c35-5d73-4e2c-8539-3ec38bf55de0
img_raw_raw.csv,no_treatment,no_treatment,balanced,75,0.0273123708974065,1,0.05748417192198,6.34060491226453e-192,3c040c13-a1fa-4ede-9c28-02614b717a27
img_raw_raw.csv,no_treatment,no_treatment,balanced,100,0.026879271070615,1,0.0575120855277059,3.10642815877816e-221,f3bd4560-574a-4931-a1ec-f9ae9a8f9d3f
img_raw_raw.csv,no_treatment,no_treatment,balanced,128,0.0284231897135123,1,0.0588228386206306,2.60607064695068e-221,101e9b81-7816-4137-8184-fc73b5758293
img_raw_raw.csv,no_treatment,no_treatment,balanced,200,0.0297843965325628,1,0.0608768082453391,8.58702610017891e-208,143bdb7d-cdfc-4956-9ced-58f0f04223a8
img_raw_raw.csv,no_treatment,no_treatment,balanced,256,0.0278391515687141,1,0.0621398426543767,3.95553339077791e-250,8b9589e3-3ee4-4bba-88fe-5cf46f6107cb
img_raw_raw.csv,no_treatment,no_treatment,balanced,512,0.0254901960784314,1,0.062139300926127,3.30693426500488e-259,ee093b61-8f1b-496a-b43f-116052607277
img_raw_raw.csv,no_treatment,no_treatment,balanced,1000,0.025436516490623,1,0.060457817001782,1.14810097590751e-286,96361238-7e77-41be-b034-69d7744bd044
img_raw_raw.csv,clip,no_treatment,balanced,1,0.0688042752171009,0.991666666666667,0.0683189973672672,4.71350385680485e-135,6d77de65-17c0-490a-a56d-898cbc506269
img_raw_raw.csv,clip,no_treatment,balanced,2,0.0675267636563272,0.991666666666667,0.0509795543582919,4.95244380420112e-125,cbe6d332-837d-4e5c-9ef7-10b88a7ce32e
img_raw_raw.csv,clip,no_treatment,balanced,4,0.041539245667686,1,0.0688091278253603,9.98111500661043e-160,2d351777-9207-4c83-8f10-026d857d1fba
img_raw_raw.csv,clip,no_treatment,balanced,6,0.0295073768442111,1,0.0617155025886424,1.29750305497471e-315,e0745736-5da5-41fb-80d7-d4c37a1bd6ff
img_raw_raw.csv,clip,no_treatment,balanced,8,0.0287342085707208,1,0.046151476559438,1.06946704114433e-217,0eedcd62-f2ed-4e3f-b47a-76c4e1c8da86
img_raw_raw.csv,clip,no_treatment,balanced,10,0.0277982779827798,1,0.0495912190218889,8.94205218758603e-248,5a17d61e-7c3b-47e7-99ad-81699cafca7b
img_raw_raw.csv,clip,no_treatment,balanced,12,0.0269211943220754,1,0.0464418329160515,2.62242627719434e-184,f9c4454b-6aac-47e1-819f-9dc2e1c133c9
img_raw_raw.csv,clip,no_treatment,balanced,14,0.0260848366650414,1,0.0468931317522148,1.03875408957395e-242,be16dba5-d784-4d8e-b0e8-6f57d6131222
img_raw_raw.csv,clip,no_treatment,balanced,16,0.0247632920611799,1,0.0434552084397669,3.10090260797087e-217,db1047ce-f34f-4948-9a1b-d13002146a3a
img_raw_raw.csv,clip,no_treatment,balanced,18,0.0244374546334382,1,0.0446729427584232,2.59943412283412e-203,a07f9500-b3f8-4572-9bf7-b51c511a2c8a
img_raw_raw.csv,clip,no_treatment,balanced,20,0.0239130434782609,1,0.0414449047788072,4.19166990925703e-237,e8819f52-6c72-4b7e-a10f-7d97f75917d2
img_raw_raw.csv,clip,no_treatment,balanced,24,0.0239865675221876,1,0.0490359395860006,2.88830317768112e-263,3221fb84-eca5-4c06-8f30-a86e950b298b
corrected_and_img.csv,no_treatment,no_treatment,balanced,1,0.0800125509883903,0.983333333333333,0.118064314053393,1.10215203994748e-120,35764494-3269-40b9-8bbd-9d27f3a10a27
corrected_and_img.csv,no_treatment,no_treatment,balanced,2,0.0862688713156003,0.983333333333333,0.122708480648856,5.88940026675863e-180,718b109f-c620-4576-85c0-cdee48769bd9
corrected_and_img.csv,no_treatment,no_treatment,balanced,4,0.0856665273715002,0.991666666666667,0.09912863888539,1.78377011399301e-249,d4457d60-55df-497a-b368-5d853d5d66bc
corrected_and_img.csv,no_treatment,no_treatment,balanced,6,0.0864393338620143,1,0.0987731545538277,0,334a9433-fe98-482b-898c-0e5460d9e368
corrected_and_img.csv,no_treatment,no_treatment,balanced,8,0.0905255082470272,1,0.0964431349608681,0,3217db1c-c598-4b82-9589-1fc07eae7056
corrected_and_img.csv,no_treatment,no_treatment,balanced,10,0.0873804612788299,1,0.0935687232563333,1.12840493749477e-223,99e836ac-3f84-45a3-bbfa-cb6af2182c66
corrected_and_img.csv,no_treatment,no_treatment,balanced,12,0.0877581120943953,1,0.0937624274822946,3.85371203756172e-322,ea1e6afd-8429-4279-9596-24eeb0ce9433
corrected_and_img.csv,no_treatment,no_treatment,balanced,14,0.0852459016393443,1,0.0920888719606977,0,2cdd1962-a51b-4b8c-8437-53cba0553e91
corrected_and_img.csv,no_treatment,no_treatment,balanced,16,0.0856936676889771,1,0.0899689758638186,0,01291efe-9236-4ca3-8e1b-939a7c2650b8
corrected_and_img.csv,no_treatment,no_treatment,balanced,18,0.0843632455668995,1,0.0885015075112948,0,850dfe98-99a1-40ef-a854-7ce2c40e382b
corrected_and_img.csv,no_treatment,no_treatment,balanced,20,0.0824430199430199,1,0.0839894635390135,0,abb29df5-563d-4051-bc30-1d43819a6ae0
corrected_and_img.csv,no_treatment,no_treatment,balanced,24,0.0796756566190728,1,0.0854904365906526,0,3a582772-1522-4cad-ad4d-3f846f13eb6d
corrected_and_img.csv,no_treatment,no_treatment,balanced,32,0.078942792557816,1,0.0883191573374782,5.28315687718709e-215,b49b85cc-4bd6-4940-9d4f-89afe66786c2
corrected_and_img.csv,no_treatment,no_treatment,balanced,50,0.074695905430872,1,0.0741869742016587,0,52073746-9849-47e6-81b9-7d71a1fc55bc
corrected_and_img.csv,no_treatment,no_treatment,balanced,64,0.0740425531914894,1,0.0762700009380142,2.41116791500845e-314,e9b31467-25b6-4e7e-868b-37d8edc9cdc9
corrected_and_img.csv,no_treatment,no_treatment,balanced,75,0.0699052132701422,1,0.0767485429738126,1.14829701365214e-281,4ba6f67f-8404-45c6-81b0-f66b3e26175b
corrected_and_img.csv,no_treatment,no_treatment,balanced,100,0.069023569023569,1,0.0719341903967942,0,ac5afbe2-4161-4bfa-9d6b-dbc48b124654
corrected_and_img.csv,no_treatment,no_treatment,balanced,128,0.066040898424405,1,0.0691602839713411,6.93762406896946e-218,bcdf7ad0-494d-4dcf-af2b-3f91b27129ac
corrected_and_img.csv,no_treatment,no_treatment,balanced,200,0.0643333333333333,1,0.0707400317079446,3.7025279499343e-320,0371bcb9-6156-4434-8c77-174e30a83ee2
corrected_and_img.csv,no_treatment,no_treatment,balanced,256,0.0618865413408751,1,0.069778864123474,2.68771799027261e-290,a6f3f137-7008-48ea-a675-3b681da603f0
corrected_and_img.csv,no_treatment,no_treatment,balanced,512,0.0599468615078047,1,0.0692893739698456,4.32530605892452e-291,74c79deb-8bf3-4294-857d-9548cc802733
corrected_and_img.csv,no_treatment,no_treatment,balanced,1000,0.0572709163346614,1,0.0679038464250104,5.66848303901758e-215,0e23cb6f-8c42-464a-9a80-4c2b64d36f2e
grd_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.362940275650842,0.308333333333333,0.188100954502426,0,165673f1-7cd5-4798-9efd-120148bfc9f2
grd_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.345665961945032,0.308333333333333,0.183138474091015,0,f96e4735-4c3a-4e78-a120-9ca34da09e3d
grd_raw_raw.csv,no_treatment,no_treatment,balanced,4,0.326689774696707,0.308333333333333,0.205889078876503,0,0d8e01d6-3018-4731-b92a-f3d1d5243284
grd_raw_raw.csv,no_treatment,no_treatment,balanced,6,0.307692307692308,0.341666666666667,0.225995243405419,0,cea94cec-ca88-4555-ae6f-c792c2b809c2
grd_raw_raw.csv,no_treatment,no_treatment,balanced,8,0.289012738853503,0.333333333333333,0.220388298134363,0,86abd9e8-03c5-4298-8053-6c3fd0502526
grd_raw_raw.csv,no_treatment,no_treatment,balanced,10,0.273082942097027,0.366666666666667,0.211414712679457,0,8de8110b-bc01-4eed-bb7b-a5da10aa122c
