source,outliers,preprocessing,weight,oob,accuracy,r2,chi2prob,model_id
img_raw_raw.csv,no_treatment,robust,no_treatment,0.0224311044648579,0.233333333333333,0.0137119144444864,1,95cf6ff0-ffca-431e-9403-93fafdd92d57
img_raw_raw.csv,no_treatment,robust,no_treatment,0.0226447340311899,0.233333333333333,0.0130422246039799,1,9f96a38e-c2e9-4ab4-a73a-867916fadf04
img_raw_raw.csv,no_treatment,robust,balanced,0.0283867989845373,0.3,0.0128117566984527,1,1f2ac489-557c-4771-a8d0-a9823405fdab
img_raw_raw.csv,no_treatment,robust,posterior,0.0336559612846458,0.208333333333333,0.00932242345563372,1,3d085f1e-f4dc-4fb9-ba91-a611d1c44517
img_raw_raw.csv,no_treatment,min_max,no_treatment,0.0226447340311899,0.683333333333333,0.00395644028963249,1.39792145927901e-23,752fe2a0-9a42-4d2f-9485-c1746066f801
img_raw_raw.csv,no_treatment,min_max,balanced,0.0283867989845373,0.691666666666667,0.00642817928816486,4.48626859016141e-23,bc9bdb5b-cbef-4c0c-9dcd-b9ee816e9af4
img_raw_raw.csv,no_treatment,min_max,posterior,0.0336559612846458,0.591666666666667,0.000495449100806233,7.60559885514366e-06,b52d1a51-17c2-4a95-8c7a-65cf7fe18449
img_raw_raw.csv,no_treatment,no_treatment,no_treatment,0.0226447340311899,1,0.0296477756081317,5.01075691649171e-205,041c8cfc-2348-4964-bd8e-eecf06d6fdbb
img_raw_raw.csv,no_treatment,no_treatment,balanced,0.0283867989845373,1,0.0566357431418891,5.87601298822259e-219,4acf1f89-4274-4bc5-bcac-2adda4ff4046
img_raw_raw.csv,no_treatment,no_treatment,posterior,0.0336559612846458,1,0.026806399209388,2.28365883517018e-189,6b6a6bb3-8dff-4431-81ba-88f1b8ce5b9a
img_raw_raw.csv,no_treatment,standard,no_treatment,0.0226447340311899,0.566666666666667,0.000877966785575834,0.0290594903655582,9a995ef6-8e9f-493b-8331-787536070728
img_raw_raw.csv,no_treatment,standard,balanced,0.0283867989845373,0.566666666666667,0.000196471164308876,2.34966455926463e-08,ebce0917-ae93-4c48-b9bc-a4942361842f
img_raw_raw.csv,no_treatment,standard,posterior,0.0336559612846458,0.533333333333333,-0.00158524326877751,3.99287259863921e-48,259d1c89-e63e-42b3-9230-e2d45b9838f0
img_raw_raw.csv,clip,robust,no_treatment,0.0226447340311899,0.233333333333333,0.0130422246039799,1,ce990f2b-8429-4f67-8b03-9e0dfd21a8e2
img_raw_raw.csv,clip,robust,balanced,0.0283867989845373,0.3,0.0128117566984527,1,f775efe0-7d42-4d62-ab8b-b40c806e7940
img_raw_raw.csv,clip,robust,posterior,0.0336559612846458,0.208333333333333,0.00932242345563372,1,597c73f3-de45-4c34-9330-e9ffb714da41
img_raw_raw.csv,clip,min_max,no_treatment,0.0226447340311899,0.683333333333333,0.00395644028963249,1.39792145927901e-23,e8b3f194-0a02-48d3-b981-824de7bd1719
img_raw_raw.csv,clip,min_max,balanced,0.0283867989845373,0.691666666666667,0.00642817928816486,4.48626859016141e-23,5ef485ff-9b4e-4474-8f1a-425673827aad
img_raw_raw.csv,clip,min_max,posterior,0.0336559612846458,0.591666666666667,0.000495449100806233,7.60559885514366e-06,dcb2a0ce-4c80-4c2a-9921-73b888436e81
img_raw_raw.csv,clip,no_treatment,no_treatment,0.0226447340311899,1,0.0296477756081317,5.01075691649171e-205,881dbf5f-edaf-4e71-93ed-fd826bf3bc91
img_raw_raw.csv,clip,no_treatment,balanced,0.0283867989845373,1,0.0566357431418891,5.87601298822259e-219,0dbb4165-baf0-4ab8-a0a7-e571d7cabfaa
img_raw_raw.csv,clip,no_treatment,posterior,0.0336559612846458,1,0.026806399209388,2.28365883517018e-189,8268a298-fcc3-4d2d-824c-850ff51e3e1e
img_raw_raw.csv,clip,standard,no_treatment,0.0226447340311899,0.566666666666667,0.000877966785575834,0.0290594903655582,0a4dcebe-7eb1-4d9b-a179-b51b6b1079be
img_raw_raw.csv,clip,standard,balanced,0.0283867989845373,0.566666666666667,0.000196471164308876,2.34966455926463e-08,2d0fd3ae-35bb-4bbf-96e3-04983e69dbff
