"Species","Raw_005nm"
"Alnus sp.",0.340909090909091
"Arctostaphyllos",0.526315789473684
"Asahinea chrysantha",0.368421052631579
"Betula nana",0.392857142857143
"Carex sp.",0.375
"Cladonia gracilis",0.277777777777778
"Cladonia mitis",0.647058823529412
"Cladonia rangiferina",0.55
"Cladonia steallaris",0.3
"Cladonia stygia",0.555555555555556
"Dryas alleghenies",0.147058823529412
"Dryas octopetala",0.0490196078431373
"Dryas sp.",0.325581395348837
"Evernia mesomorpha",0.3
"Flavocetraria nivalis",0.315789473684211
"Ledum decumbens",0.894736842105263
"Nephroma arcticum",0.333333333333333
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.0666666666666667
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0
"Salix alaxensis",0.127659574468085
"Salix glauca",0.3125
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.619047619047619
