"","Species","raw_allbands_equal15"
"2","Arctostaphyllos",0.2
"3","Asahinea chrysantha",0.266666666666667
"5","Carex sp.",0.2
"6","Cladonia gracilis",0.0666666666666667
"7","Cladonia mitis",0.133333333333333
"9","Cladonia steallaris",0.2
"14","Evernia mesomorpha",0.266666666666667
"15","Flavocetraria nivalis",0
"16","Ledum decumbens",0.133333333333333
"17","Nephroma arcticum",0.2
"18","Picea mariana",0
"19","Pilophorus acicularis",0
"20","Rhizocarpon geographicum",0.0666666666666667
"21","Rosa acicularis",0
"22","Salix alaxensis",0.2
"23","Salix glauca",0.2
"24","Umbilicaria hyperborea",0
