"","Species","raw_allbands_more10"
"5","Bryoria sp.",0.2
"14","Dryas alleghenies",0.147058823529412
"15","Dryas octopetala",0.0522875816993464
"18","Eriophorum vaginatum",0.1
"25","Lupinus sp.",0.166666666666667
"29","Parmelis sulcata",0.25
"30","Pedicularis racemosa",0.272727272727273
"32","Picea mariana",0.0588235294117647
"33","Pilophorus acicularis",0.2
"36","Porpidia sp.",0.0909090909090909
"37","Rhizocarpon geographicum",0.0555555555555556
"38","Rosa acicularis",0
"41","Salix alaxensis",0.106382978723404
"44","Umbilicaria hyperborea",0.266666666666667
"46","Usnea scabrata",0.166666666666667
