"Species","raw_PCA_more15"
"Alnus sp.",0.318181818181818
"Arctostaphyllos",0.368421052631579
"Asahinea chrysantha",0.421052631578947
"Betula nana",0.446428571428571
"Carex sp.",0.375
"Cladonia gracilis",0.166666666666667
"Cladonia mitis",0.529411764705882
"Cladonia rangiferina",0.3
"Cladonia steallaris",0.3
"Cladonia stygia",0.388888888888889
"Dryas alleghenies",0.117647058823529
"Dryas octopetala",0.0718954248366013
"Dryas sp.",0.348837209302326
"Evernia mesomorpha",0.3
"Flavocetraria nivalis",0.210526315789474
"Ledum decumbens",0.789473684210526
"Nephroma arcticum",0.238095238095238
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.333333333333333
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.333333333333333
"Salix alaxensis",0.0638297872340425
"Salix glauca",0.375
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.666666666666667
